idArticle;categorie;designation;stockAlerte;DCI1;DCI2;DCI3;prixVenteHT;prixVenteTTC;prixAchatHT;prixAchatTTC
1003;MEDICAMENT;DRILL ENFANT FL/150ML;3;BROMHYDRATE DEXTROMETHORPHANE;PARAHYDROXYBENZOATE METHYLE;PARAHYDROXYBENZOATE PROPYLE;5,185;5,185;3,838;3,838
10030;ACCESSOIRE;THERMOSPORT SHORT/ L;0;;;;43,911;51,815;32,527;38,381
10031;PREPARATION;PM63453 PREPARATION MAGISTRALE;0;;;;15,454;15,454;5,530;5,530
10032;PREPARATION;PREPARATION MAGISTRALE IP2631;0;;;;15,454;15,454;5,530;5,530
10033;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10034;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10035;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10036;PREPARATION;PM63454 PREPARATION MAGISTRALE;0;;;;39,531;39,531;20,188;20,188
10037;PREPARATION;PREPARATION MAGISTRALE IP2635;0;;;;39,531;39,531;20,188;20,188
10038;PREPARATION;PREPARATION MAGISTRALE IP2581;0;;;;25,857;25,857;14,452;14,452
10039;PARAPHARMACIE;VENOFLEX BAS CUISSE;0;;;;49,950;58,941;37,000;43,660
1004;PARAPHARMACIE;PHYTOTHERA AIDE MINCEUR;0;;;;13,541;15,978;9,027;10,651
10040;ACCESSOIRE;FIXADERM 15CM X 10M;0;;;;14,406;15,270;8,644;9,163
10041;PREPARATION;FIXADERM 15CMX10M VRAC ( 1/2M);0;;;;1,500;1,500;,347;,347
10042;PREPARATION;PM63464 PREPARATION MAGISTRALE;0;;;;37,350;37,350;21,738;21,738
10043;PREPARATION;PREPARATION MAGISTRALE IP2636;0;;;;37,350;37,350;21,738;21,738
10044;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10045;ACCESSOIRE;SCHOLL ROCHEL NOIR 37;0;;;;152,542;180,000;117,340;138,461
10046;PREPARATION;PM63467 PREPARATION MAGISTRALE;0;;;;25,021;25,021;11,139;11,139
10047;PREPARATION;PREPARATION MAGISTRALE IP2638;0;;;;25,021;25,021;11,139;11,139
10048;PREPARATION;PM63468 PREPARATION MAGISTRALE;0;;;;29,074;29,074;8,874;8,874
10049;PREPARATION;PREPARATION MAGISTRALE IP2639;0;;;;29,074;29,074;8,874;8,874
1005;PARAPHARMACIE;KLORANE LINGETTES RECHARG;0;;;;18,750;22,125;12,500;14,750
10050;PARAPHARMACIE;FLEXICUR ARTICULATIONS;1;;;;27,000;31,860;18,000;21,240
10051;PREPARATION;PM63470 PREPARATION MAGISTRALE;0;;;;28,223;28,223;16,005;16,005
10052;PREPARATION;PREPARATION MAGISTRALE IP2640;0;;;;28,223;28,223;16,005;16,005
10053;ACCESSOIRE;ORAL-B 3DWHITE M ORTA/40;0;;;;3,686;4,349;2,730;3,221
10054;ACCESSOIRE;ORAL-B PRO-EXPERT ANTI-BACT M/40;0;;;;7,458;8,800;4,972;5,866
10055;ACCESSOIRE;ORAL-B EXPERT COMPLETE7 S/35;0;;;;6,102;7,200;4,520;5,333
10056;ACCESSOIRE;ORAL-B STAGES 3;0;;;;3,686;4,349;2,730;3,221
10057;ACCESSOIRE;ORAL-B STAGES 2;0;;;;3,686;4,349;2,730;3,221
10058;ACCESSOIRE;ORAL-B STAGE 1;0;;;;2,970;3,505;2,200;2,596
10059;ACCESSOIRE;ORAL-B FIL DENT A LA MENTHE;0;;;;3,146;3,712;2,330;2,749
1006;PRODUITS CHIMIQUES;GINSENG TM 125ML;0;;;;9,737;9,737;7,207;7,207
10060;PARAPHARMACIE;FIXODENT NEUTRAL CREME;1;;;;11,160;13,169;7,440;8,779
10061;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10062;PREPARATION;PREPARATION MAGISTRALE IP1006;0;;;;27,727;27,727;11,669;11,669
10063;PARAPHARMACIE;KDERM LIFTER JOUR 50ML;1;;;;66,342;78,284;44,228;52,189
10064;PARAPHARMACIE;KDERM LIFTER SOLUTION MICELLAIRE;1;;;;48,123;56,785;31,673;37,374
10065;PARAPHARMACIE;VITAL ARTHRO FORCE B/60 GELULES;1;;;;15,895;18,756;10,596;12,503
10066;PARAPHARMACIE;PHYTOTHERA VIAMEN BT/15CP;1;;;;11,168;13,178;7,444;8,783
10067;LAIT;SWISSLAC 2EME AGE;0;;;;13,900;13,900;11,815;11,815
10068;PREPARATION;PM63490 PREPARATION MAGISTRALE;0;;;;7,741;7,741;2,499;2,499
10069;PREPARATION;PREPARATION MAGISTRALE IP2642;0;;;;7,741;7,741;2,499;2,499
1007;PRODUITS CHIMIQUES;MICROS GATILLIER 100GR;0;;;;47,800;56,404;23,900;28,202
10070;PREPARATION;PM63491 PREPARATION MAGISTRALE;0;;;;10,651;10,651;4,458;4,458
10071;PREPARATION;PREPARATION MAGISTRALE IP2643;0;;;;10,651;10,651;4,458;4,458
10072;PREPARATION;PREPARATION MAGISTRALE IP1178;0;;;;8,897;8,897;2,639;2,639
10073;PREPARATION;PM63506 PREPARATION MAGISTRALE;0;;;;28,139;28,139;14,583;14,583
10074;PREPARATION;PREPARATION MAGISTRALE IP2644;0;;;;28,139;28,139;14,583;14,583
10075;ACCESSOIRE;ELGYDIUM BROSSE ORTHO MED;1;;;;6,765;7,983;5,011;5,912
10076;PREPARATION;PM63507 PREPARATION MAGISTRALE;0;;;;28,100;28,100;16,333;16,333
10077;PREPARATION;PREPARATION MAGISTRALE IP2645;0;;;;28,100;28,100;16,333;16,333
10078;PREPARATION;PM63508 PREPARATION MAGISTRALE;0;;;;37,350;37,350;21,738;21,738
10079;PREPARATION;PREPARATION MAGISTRALE IP2646;0;;;;37,350;37,350;21,738;21,738
1008;MEDICAMENT;NIFLUMIC CREME;2;ACIDE NIFLUMIQUE;;;2,020;2,020;1,454;1,454
10080;PREPARATION;PREPARATION MAGISTRALE IP2078;0;;;;28,127;28,127;14,257;14,257
10081;PRODUITS CHIMIQUES;EPS GRIFFONIA;1;;;;125,757;148,393;75,757;89,393
10082;VETERINAIRE;FIPROSPRAY FL/250ML;1;;;;19,500;19,500;14,818;14,818
10083;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10084;PARAPHARMACIE;LED SEBODIANE DS EMULSION;1;;;;21,263;25,090;14,175;16,726
10085;PREPARATION;PM63511 PREPARATION MAGISTRALE;0;;;;49,414;49,414;32,452;32,452
10086;PREPARATION;PREPARATION MAGISTRALE IP2648;0;;;;49,414;49,414;32,452;32,452
10087;PREPARATION;PM63513 PREPARATION MAGISTRALE;0;;;;28,041;28,041;14,609;14,609
10088;PREPARATION;PREPARATION MAGISTRALE IP2649;0;;;;28,041;28,041;14,609;14,609
10089;PREPARATION;PM63514 PREPARATION MAGISTRALE;0;;;;24,293;24,293;14,350;14,350
1009;ACCESSOIRE;CISEAUX CHIRUGICAL;1;;;;5,357;6,321;4,000;4,720
10090;PREPARATION;PREPARATION MAGISTRALE IP2650;0;;;;24,293;24,293;14,350;14,350
10091;MEDICAMENT;MODILAC 3EME AGE;1;;;;13,495;13,495;11,475;11,475
10092;MEDICAMENT;SEROQUEL 100MG BT/60CP;1;QUETIAPINE FUMARATE;;;180,535;180,615;137,185;137,185
10093;MEDICAMENT;IPRATROPIUM 0.25MG/1ML BT/10 ENF;1;IPRATROPIUM;;;11,144;11,224;8,249;8,249
10094;MEDICAMENT;SEROQUEL 200MG BT/60CP;1;QUETIAPINE FUMARATE;;;225,755;225,835;171,546;171,546
10095;MEDICAMENT;SEROQUEL 25MG BT/60CP;1;QUETIAPINE FUMARATE;;;59,055;59,135;44,875;44,875
10096;MEDICAMENT;SEROQUEL 300MG BT/60CP;1;QUETIAPINE FUMARATE;;;371,200;371,280;282,067;282,067
10097;MEDICAMENT;CEFRIN 250 MG FL/100ML;1;CEFALEXINE;;;3,405;3,485;2,520;2,520
10098;MEDICAMENT;CARVIDOL 12.5MG BT/30CP;1;CARVEDILOL;;;12,425;12,505;9,440;9,440
10099;MEDICAMENT;DIAMEZID 30MG BT /30CP;1;GLICLAZIDE;;;7,985;8,065;5,910;5,910
101;MEDICAMENT;TORENTAL 400 ROUSS.TUNISI;2;PENTOXIFYLLINE;;;8,885;8,965;6,577;6,577
1010;PARAPHARMACIE;SVR XERIAL 50 EXTREME;1;;;;26,385;31,134;17,590;20,756
10100;MEDICAMENT;TALLIS 250MG BT/42CP;1;TERBINAFINE;;;64,300;64,380;48,860;48,860
10101;ACCESSOIRE;THUASNE LOMBAX HAUTE;1;;;;129,000;129,000;97,000;97,000
10102;MEDICAMENT;MARBOCYL 2% INJ FL100ML;0;;;;21,664;21,744;16,462;16,462
10103;MEDICAMENT;SUPRASONE 0.05% CREME;1;BETAMETHASONE;;;2,090;2,170;1,505;1,505
10104;PARAPHARMACIE;SVR RUBIALINE EAU MICELLAIRE 100ML;1;;;;12,327;14,546;8,218;9,697
10105;PARAPHARMACIE;GUM GEL BIOXTRA GEL HUMECTRA;1;;;;18,764;22,142;12,509;14,760
10106;PARAPHARMACIE;GUM BIOXTRA BAIN DE BOUCHE;1;;;;18,765;22,143;12,510;14,761
10107;PREPARATION;PM63522 PREPARATION MAGISTRALE;0;;;;36,511;36,511;22,018;22,018
10108;PREPARATION;PREPARATION MAGISTRALE IP2651;0;;;;36,511;36,511;22,018;22,018
10109;PARAPHARMACIE;ETIAXIL BILLE DETRANS P/S;1;;;;20,700;24,426;13,800;16,284
1011;MEDICAMENT;SOLIAN 100MG BT/30CP;1;;;;42,965;43,045;32,848;32,848
10110;PREPARATION;PM63524 PREPARATION MAGISTRALE;0;;;;6,794;6,794;1,221;1,221
10111;PREPARATION;PREPARATION MAGISTRALE IP2652;0;;;;6,794;6,794;1,221;1,221
10112;PREPARATION;PM63528 PREPARATION MAGISTRALE;0;;;;24,904;24,904;13,940;13,940
10113;PREPARATION;PREPARATION MAGISTRALE IP2653;0;;;;24,904;24,904;13,940;13,940
10114;ACCESSOIRE;SERINGUE 50 ML TOTAL SAFETY;1;;;;1,075;1,269;,645;,761
10115;MEDICAMENT;IV-FER 100MG BT/5;1;FER;;;13,730;13,730;10,434;10,434
10116;HOMEOPATHIE;EUPATORIUM PERFOLIATUM 5CH TG;0;;;;3,315;3,315;2,454;2,454
10117;HOMEOPATHIE;ROSMARINUS TM 125ML;1;;;;12,260;12,260;9,316;9,316
10118;ACCESSOIRE;CHAISE ROULANTE;0;;;;381,356;450,000;280,000;330,400
10119;PREPARATION;PREPARATION MAGISTRALE IP1380;0;;;;27,631;27,631;12,405;12,405
1012;PARAPHARMACIE;VICHY CREME DEPILATOIRE;1;;;;21,000;24,780;14,000;16,520
10120;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10121;PREPARATION;PM63544 PREPARATION MAGISTRALE;0;;;;28,133;28,133;14,752;14,752
10122;PREPARATION;PREPARATION MAGISTRALE IP2655;0;;;;28,133;28,133;14,752;14,752
10123;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10124;MEDICAMENT;CYCLODEX 20MG BT/14CP;1;PIROXICAM;CYCLODEXTRINE;;8,201;8,281;6,070;6,070
10125;PREPARATION;PM63548 PREPARATION MAGISTRALE;0;;;;17,682;17,682;9,056;9,056
10126;PREPARATION;PREPARATION MAGISTRALE IP2657;0;;;;17,682;17,682;9,056;9,056
10127;PREPARATION;PM63553 PREPARATION MAGISTRALE;0;;;;17,805;17,805;6,244;6,244
10128;PREPARATION;PREPARATION MAGISTRALE IP2658;0;;;;17,805;17,805;6,244;6,244
10129;ACCESSOIRE;COMPRESSES 40X40 KINGFLEX;0;;;;3,826;4,056;2,551;2,704
1013;MEDICAMENT;CELLUVISC 4MG/0.4ML B/30D;2;CARMELLOSE;;;5,340;5,340;3,953;3,953
10130;MEDICAMENT;CRESTOR 5MG BT28 CP;1;ROSUVASTATINE;;;30,020;30,100;22,812;22,812
10131;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10132;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10133;ACCESSOIRE;BOULE QUES OHROPAX SILICONE BT/3P;0;;;;13,440;15,859;8,960;10,572
10134;PREPARATION;PM63555 PREPARATION MAGISTRALE;0;;;;14,170;14,170;5,366;5,366
10135;PREPARATION;PREPARATION MAGISTRALE IP2661;0;;;;14,170;14,170;5,366;5,366
10136;PREPARATION;PM63556 PREPARATION MAGISTRALE;0;;;;14,499;14,499;5,719;5,719
10137;PREPARATION;PREPARATION MAGISTRALE IP2662;0;;;;14,499;14,499;5,719;5,719
10138;PREPARATION;PM63557 PREPARATION MAGISTRALE;0;;;;11,579;11,579;3,204;3,204
10139;PREPARATION;PREPARATION MAGISTRALE IP2663;0;;;;11,579;11,579;3,204;3,204
1014;MEDICAMENT;AZRO 500MG BT/3 CP;2;AZITHROMYCINE;;;11,575;11,655;8,568;8,568
10140;HOMEOPATHIE;RANUNCULUS BULBOSUS  9CH GR;0;;;;3,315;3,315;2,454;2,454
10141;PARAPHARMACIE;ESTH'ELLE TISANE BABY CALM;1;;;;5,085;6,000;3,390;4,000
10142;PARAPHARMACIE;ESTH'ELLE TISANE BABY SPASM;1;;;;5,085;6,000;3,390;4,000
10143;PARAPHARMACIE;VITARMONYL AQUA LIGNE VENTRE PLAT;1;;;;28,050;33,099;18,700;22,066
10144;PARAPHARMACIE;SEBA-MED CLEAR FACE TONIQUE NETT;1;;;;10,346;12,208;6,897;8,138
10145;PREPARATION;PM63564 PREPARATION MAGISTRALE;0;;;;7,507;7,507;1,182;1,182
10146;PREPARATION;PREPARATION MAGISTRALE IP2664;0;;;;7,507;7,507;1,182;1,182
10147;ACCESSOIRE;BANDE GAZ 5;1;;;;,290;,290;,175;,175
10148;PREPARATION;PM63567 PREPARATION MAGISTRALE;0;;;;15,613;15,613;7,985;7,985
10149;PREPARATION;PREPARATION MAGISTRALE IP2665;0;;;;15,613;15,613;7,985;7,985
1015;MEDICAMENT;VIBURNUM LANTANA BG 1DH;0;;;;9,739;9,739;6,987;6,987
10150;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10151;PREPARATION;PREPARATION MAGISTRALE IP1428;0;;;;28,067;28,067;12,539;12,539
10152;PREPARATION;PM63569 PREPARATION MAGISTRALE;0;;;;28,126;28,126;11,735;11,735
10153;PREPARATION;PREPARATION MAGISTRALE IP2667;0;;;;28,126;28,126;11,735;11,735
10154;PREPARATION;PM63570 PREPARATION MAGISTRALE;0;;;;28,070;28,070;13,044;13,044
10155;PREPARATION;PREPARATION MAGISTRALE IP2668;0;;;;28,070;28,070;13,044;13,044
10156;PREPARATION;PREPARATION MAGISTRALE IP2569;0;;;;11,790;11,790;5,919;5,919
10157;PRODUITS CHIMIQUES;MICROS MENYANTE 100 GR;0;;;;34,291;40,463;18,561;21,901
10158;PREPARATION;PM63850 PREPARATION MAGISTRALE;0;;;;40,770;40,770;23,821;23,821
10159;PREPARATION;PREPARATION MAGISTRALE IP2669;0;;;;40,770;40,770;23,821;23,821
1016;MEDICAMENT;FLOXYFRAL 100MG BT/15 CP;0;FLUVOXAMINE;;;12,886;12,966;9,793;9,793
10160;PREPARATION;PM63851 PREPARATION MAGISTRALE;0;;;;40,832;40,832;18,200;18,200
10161;PREPARATION;PREPARATION MAGISTRALE IP2670;0;;;;40,832;40,832;18,200;18,200
10162;PARAPHARMACIE;NATURAL DORMINE B/30;1;;;;10,512;12,404;7,008;8,269
10163;MEDICAMENT;AVAMYS 27.5 FL/120DS;1;FLUTICASONE;;;16,955;17,035;12,884;12,884
10164;MEDICAMENT;MALANIL 250MG/100MG B/12;0;ATOVAQUONE;PROGUANIL HYDROCHLORIDE;;98,004;98,084;74,471;74,471
10165;MEDICAMENT;MALANIL 250MG BT/12CP;0;ATOVAQUONE;PROGUANIL HYDROCHLORIDE;;98,004;98,084;74,471;74,471
10166;PREPARATION;PM63582 PREPARATION MAGISTRALE;0;;;;6,154;6,154;1,547;1,547
10167;PREPARATION;PREPARATION MAGISTRALE IP2671;0;;;;6,154;6,154;1,547;1,547
10168;PARAPHARMACIE;PHYTOPIC APHTABB 10ML;1;;;;5,720;6,750;3,813;4,499
10169;PARAPHARMACIE;PHYTOPIC AROMAGUM GINCIVES;1;;;;4,964;5,858;3,309;3,904
1017;PARAPHARMACIE;KLORANE BAUME HUI/VIS 150;0;;;;15,254;18,000;10,169;11,999
10170;PREPARATION;PM63588 PREPARATION MAGISTRALE;0;;;;28,103;28,103;15,502;15,502
10171;PREPARATION;PREPARATION MAGISTRALE IP2672;0;;;;28,103;28,103;15,502;15,502
10172;PREPARATION;PM63591 PREPARATION MAGISTRALE;0;;;;28,138;28,138;14,752;14,752
10173;PREPARATION;PREPARATION MAGISTRALE IP2673;0;;;;28,138;28,138;14,752;14,752
10174;PARAPHARMACIE;NUK SUCETTE ADORE 2EME AGE;0;;;;5,100;6,018;3,400;4,012
10175;PREPARATION;PM63592 PREPARATION MAGISTRALE;0;;;;9,665;9,665;3,346;3,346
10176;PREPARATION;PREPARATION MAGISTRALE IP2674;0;;;;9,665;9,665;3,346;3,346
10177;PREPARATION;PM63593 PREPARATION MAGISTRALE;0;;;;20,919;20,919;6,874;6,874
10178;PREPARATION;PREPARATION MAGISTRALE IP2675;0;;;;20,919;20,919;6,874;6,874
10179;PREPARATION;PM63594 PREPARATION MAGISTRALE;0;;;;40,770;40,770;23,821;23,821
1018;MEDICAMENT;LOCAPRED 0.1 CREME T/15;5;DESONIDE;;;2,805;2,885;2,076;2,076
10180;PREPARATION;PREPARATION MAGISTRALE IP2676;0;;;;40,770;40,770;23,821;23,821
10181;ACCESSOIRE;BIONIME LANCETTES BT/200;1;;;;30,000;30,000;20,000;20,000
10182;ACCESSOIRE;BIONIME COFFRET PROMOTIONNEL;1;;;;87,750;87,750;65,000;65,000
10183;PREPARATION;PM63595 PREPARATION MAGISTRALE;0;;;;28,223;28,223;16,005;16,005
10184;PREPARATION;PREPARATION MAGISTRALE IP2677;0;;;;28,223;28,223;16,005;16,005
10185;PREPARATION;PM63596 PREPARATION MAGISTRALE;0;;;;27,312;27,312;15,593;15,593
10186;PREPARATION;PREPARATION MAGISTRALE IP2678;0;;;;27,312;27,312;15,593;15,593
10187;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10188;PARAPHARMACIE;SUCRE BIO ESSENCE;1;;;;2,765;3,263;1,843;2,174
10189;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
1019;PARAPHARMACIE;DERCOS SHAMP.CH.SECS;1;;;;14,850;17,523;9,900;11,682
10190;PRODUITS CHIMIQUES;H.ESS GAULTHERIE 10ML;0;;;;12,400;14,632;6,200;7,316
10191;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10192;PREPARATION;PM63599 PREPARATION MAGISTRALE;0;;;;9,035;9,035;2,727;2,727
10193;PREPARATION;PREPARATION MAGISTRALE IP2682;0;;;;9,035;9,035;2,727;2,727
10194;PREPARATION;PM63600 PREPARATION MAGISTRALE;0;;;;28,035;28,035;14,454;14,454
10195;PREPARATION;PREPARATION MAGISTRALE IP2683;0;;;;28,035;28,035;14,454;14,454
10196;PARAPHARMACIE;EMAIL DIAMANT CODE WHITE;1;;;;6,143;7,249;4,550;5,369
10197;PREPARATION;PM63605 PREPARATION MAGISTRALE;0;;;;28,138;28,138;14,752;14,752
10198;PREPARATION;PREPARATION MAGISTRALE IP2684;0;;;;28,138;28,138;14,752;14,752
10199;MEDICAMENT;INFATRINI 200ML;0;;;;10,667;12,587;7,111;8,390
102;MEDICAMENT;BUSCOPAN B5 SU;3;BROMURE N BUTYL HYOSCINE;;;1,025;1,105;,717;,717
1020;MEDICAMENT;SOLUT CHL SOD 0.9% 250ML;0;;;;1,645;1,645;1,184;1,184
10200;PARAPHARMACIE;PHYTEAL PHYTOSLIM+ 150ML;0;;;;25,664;30,284;17,109;20,188
10201;PARAPHARMACIE;PHYTEAL ULTRALISS MASQUE CAPILLAIRE;1;;;;24,165;28,515;16,110;19,009
10202;PARAPHARMACIE;LIERAC PREMIUM SERUM ANTI AGE;1;;;;122,268;144,276;81,512;96,184
10203;PARAPHARMACIE;MEBBY 2SUCETTES ANATOMIQUE 0-6M;1;;;;7,247;8,551;4,831;5,700
10204;PREPARATION;PM63611 PREPARATION MAGISTRALE;0;;;;7,923;7,923;2,491;2,491
10205;PREPARATION;PREPARATION MAGISTRALE IP2685;0;;;;7,923;7,923;2,491;2,491
10206;PREPARATION;PM63612 PREPARATION MAGISTRALE;0;;;;19,683;19,683;11,197;11,197
10207;PREPARATION;PREPARATION MAGISTRALE IP2686;0;;;;19,683;19,683;11,197;11,197
10208;ACCESSOIRE;ELGIDIUM BROS A DENT XTREM S;1;;;;7,425;8,762;5,500;6,490
10209;ACCESSOIRE;ELGIDIUM BROS A DENT XTREM MED;1;;;;7,425;8,762;5,500;6,490
1021;MEDICAMENT;NORMOPTIC 0.50% FL/5ML;1;TIMOLOL;;;2,745;2,825;2,032;2,032
10210;PARAPHARMACIE;ADERMA EXOMEGA HUILE NETTOYANTE;1;;;;21,750;25,665;14,500;17,110
10211;PREPARATION;PM63615 PREPARATION MAGISTRALE;0;;;;15,297;15,297;7,040;7,040
10212;PREPARATION;PREPARATION MAGISTRALE IP2687;0;;;;15,297;15,297;7,040;7,040
10213;PARAPHARMACIE;PHYTOPIC APHTADOUX GEL ANTI-APHTES;1;;;;7,488;8,836;4,992;5,891
10214;PREPARATION;PM63616 PREPARATION MAGISTRALE;0;;;;28,159;28,159;15,870;15,870
10215;PREPARATION;PREPARATION MAGISTRALE IP2688;0;;;;28,159;28,159;15,870;15,870
10216;PREPARATION;PM63617 PREPARATION MAGISTRALE;0;;;;28,138;28,138;14,752;14,752
10217;PREPARATION;PREPARATION MAGISTRALE IP2689;0;;;;28,138;28,138;14,752;14,752
10218;PREPARATION;PM63618 PREPARATION MAGISTRALE;0;;;;13,057;13,057;6,286;6,286
10219;PREPARATION;PREPARATION MAGISTRALE IP2690;0;;;;13,057;13,057;6,286;6,286
1022;PRODUITS CHIMIQUES;H.ESS CAMOMILLE 10ML;0;;;;100,725;118,856;67,150;79,237
10220;PREPARATION;PM63619 PREPARATION MAGISTRALE;0;;;;17,846;17,846;6,066;6,066
10221;PREPARATION;PREPARATION MAGISTRALE IP2691;0;;;;17,846;17,846;6,066;6,066
10222;ACCESSOIRE;TOP DISTRIBUTEUR MOUCHOIRS B/100;1;;;;,900;1,062;,600;,708
10223;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10224;PREPARATION;PM63621 PREPARATION MAGISTRALE;0;;;;6,581;6,581;,770;,770
10225;PREPARATION;PREPARATION MAGISTRALE IP2693;0;;;;6,581;6,581;,770;,770
10226;PARAPHARMACIE;FLORES HUILE DE' NIGELLE;0;;;;26,568;31,350;17,712;20,900
10227;PARAPHARMACIE;LE NATUREL STOP MOUSTIQUES;0;;;;3,363;3,968;2,242;2,645
10228;PARAPHARMACIE;MUSTELA VERGETURES ACTION INTENSIVE;0;;;;51,660;60,959;34,440;40,639
10229;PARAPHARMACIE;MUSTELA STELATRIA CREME;0;;;;27,248;32,153;18,165;21,434
1023;PARAPHARMACIE;KLORANE SHAMP BEBE 200ML;2;;;;14,831;17,501;9,887;11,666
10230;PREPARATION;PM63624 PREPARATION MAGISTRALE;0;;;;28,060;28,060;14,454;14,454
10231;PREPARATION;PREPARATION MAGISTRALE IP2694;0;;;;28,060;28,060;14,454;14,454
10232;PREPARATION;PREPARATION MAGISTRALE IP2694;0;;;;28,060;28,060;14,454;14,454
10233;PREPARATION;PREPARATION MAGISTRALE IP2694;0;;;;28,060;28,060;14,454;14,454
10234;PARAPHARMACIE;FLOXIA SAVON EXFO ECLAIRCISSANT;1;;;;13,694;16,159;9,129;10,772
